,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
HYUNMIN DRX,3 7 -4,1 3 -2,7 3 +4,3 2 +1,5 2 +3
free1ng DRX,1 5 -4,1 3 -2,1 4 -3,3 5 -2,2 1 +1
BeYN DRX,7 4 +3,4 2 +2,3 4 -1,3 5 -2,4 0 +4
Flashback DRX,2 3 -1,7 4 +3,5 3 +2,10 4 +6,1 5 -4
MaKo DRX,2 9 -7,0 2 -2,1 1 +0,3 3 +0,2 2 +0
