,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
HYUNMIN DRX,,,,1 0 +1,1 0 +1
free1ng DRX,,,0 1 -1,4 1 +3,
BeYN DRX,1 0 +1,,0 1 -1,1 2 -1,
Flashback DRX,1 1 +0,3 0 +3,1 0 +1,2 1 +1,
MaKo DRX,,1 0 +1,0 1 -1,,
