,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
HYUNMIN DRX,0 1 -1,,1 2 -1,1 0 +1,
free1ng DRX,,1 1 +0,0 1 -1,1 2 -1,
BeYN DRX,,0 1 -1,,0 1 -1,
Flashback DRX,,2 1 +1,1 1 +0,2 2 +0,
MaKo DRX,,,,0 1 -1,0 1 -1
