,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
HYUNMIN DRX,0 1 -1,1 1 +0,1 2 -1,5 0 +5,2 0 +2
free1ng DRX,,1 1 +0,0 2 -2,6 4 +2,
BeYN DRX,1 0 +1,0 1 -1,0 1 -1,1 4 -3,
Flashback DRX,1 3 -2,5 1 +4,3 1 +2,6 4 +2,0 1 -1
MaKo DRX,,1 1 +0,0 1 -1,0 1 -1,0 1 -1
