,Jinboong DFM,Meiy DFM,gyen DFM,Akame DFM,Art DFM
Deryeon GE,1 0 +1,0 2 -2,,,
kellyS GE,,1 0 +1,2 0 +2,1 0 +1,2 1 +1
Papi GE,,,1 0 +1,,
UdoTan GE,0 1 -1,0 3 -3,1 2 -1,0 3 -3,2 0 +2
Kr1stal GE,,0 1 -1,,1 0 +1,1 0 +1
