,Jinboong DFM,Meiy DFM,gyen DFM,Akame DFM,Art DFM
Deryeon GE,7 4 +3,5 10 -5,6 3 +3,6 8 -2,4 8 -4
kellyS GE,10 7 +3,5 10 -5,6 7 -1,8 7 +1,9 4 +5
Papi GE,2 9 -7,7 2 +5,6 7 -1,2 6 -4,6 9 -3
UdoTan GE,8 5 +3,6 12 -6,4 7 -3,6 7 -1,5 4 +1
Kr1stal GE,4 9 -5,7 12 -5,5 4 +1,7 8 -1,6 2 +4
