,Jinboong DFM,Meiy DFM,gyen DFM,Akame DFM,Art DFM
Deryeon GE,6 1 +5,5 6 -1,2 1 +1,1 5 -4,1 5 -4
kellyS GE,5 3 +2,2 7 -5,4 2 +2,6 5 +1,7 2 +5
Papi GE,2 4 -2,3 2 +1,3 3 +0,0 4 -4,4 4 +0
UdoTan GE,4 1 +3,4 7 -3,3 3 +0,3 4 -1,3 3 +0
Kr1stal GE,1 4 -3,3 7 -4,4 2 +2,4 6 -2,3 1 +2
