,Jinboong DFM,Meiy DFM,gyen DFM,Akame DFM,Art DFM
Deryeon GE,1 3 -2,0 4 -4,4 2 +2,5 3 +2,3 3 +0
kellyS GE,5 4 +1,3 3 +0,2 5 -3,2 2 +0,2 2 +0
Papi GE,0 5 -5,4 0 +4,3 4 -1,2 2 +0,2 5 -3
UdoTan GE,4 4 +0,2 5 -3,1 4 -3,3 3 +0,2 1 +1
Kr1stal GE,3 5 -2,4 5 -1,1 2 -1,3 2 +1,3 1 +2
