,Jinboong DFM,Meiy DFM,gyen DFM,Akame DFM,Art DFM
Deryeon GE,1 0 +1,0 4 -4,,0 1 -1,1 0 +1
kellyS GE,,1 1 +0,2 0 +2,1 0 +1,2 2 +0
Papi GE,0 1 -1,1 0 +1,1 0 +1,,0 1 -1
UdoTan GE,1 3 -2,0 3 -3,1 3 -2,0 4 -4,3 0 +3
Kr1stal GE,,1 3 -2,1 0 +1,1 0 +1,2 0 +2
