,Jinboong DFM,Meiy DFM,gyen DFM,Akame DFM,Art DFM
Deryeon GE,,0 2 -2,,0 1 -1,1 0 +1
kellyS GE,,0 1 -1,,,0 1 -1
Papi GE,0 1 -1,1 0 +1,,,0 1 -1
UdoTan GE,1 2 -1,,0 1 -1,0 1 -1,1 0 +1
Kr1stal GE,,1 2 -1,1 0 +1,,1 0 +1
