,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Sayf VIT,,5 Round 1 MiniBoo Wo0t Round 2 Wo0t MiniBoo Round 6 Boo Wo0t Round 11 benjyfishy RieNs Round 19 RieNs Boo,,,,,1 Round 19 RieNs Boo,,,,55,5,0
Derke VIT,,2 Round 4 Boo MiniBoo Round 17 MiniBoo benjyfishy,3 Round 2 Boo RieNs benjyfishy Round 16 Wo0t MiniBoo Boo Round 20 Wo0t Boo benjyfishy,,,,,,,,48,4,0
Less VIT,,1 Round 1 benjyfishy RieNs,1 Round 15 Wo0t Boo benjyfishy,,,,,,,,36,0,1
Kicks VIT,,1 Round 15 MiniBoo RieNs,,1 Round 10 Boo Wo0t RieNs MiniBoo,,1 Round 15 RieNs,,,,,50,0,1
CyvOph VIT,,4 Round 3 benjyfishy MiniBoo Round 4 RieNs Wo0t Round 6 MiniBoo RieNs Round 11 MiniBoo Boo,,,,,,,,,34,0,0
Boo TH,,4 Round 1 CyvOph Less Round 9 CyvOph Derke Round 17 Derke Kicks Round 21 CyvOph Derke,,,,,1 Round 17 Kicks Derke,,,,41,2,0
RieNs TH,,1 Round 11 Less CyvOph,2 Round 19 CyvOph Kicks Derke Round 23 CyvOph Kicks Sayf,,,,,,,,51,2,1
MiniBoo TH,,4 Round 7 Derke Kicks Round 15 Sayf CyvOph Round 16 Kicks CyvOph Round 21 Kicks Less,3 Round 9 Sayf Kicks Less Round 18 CyvOph Sayf Kicks Round 22 Kicks Less Sayf,,,,,,,,58,2,0
Wo0t TH,,2 Round 11 Kicks Sayf Round 17 Less CyvOph,2 Round 5 Derke Kicks CyvOph Round 13 Sayf Less Derke,2 Round 8 Less Derke Sayf Kicks Round 12 Derke Less CyvOph Kicks,,1 Round 11 Sayf,,,,,74,0,1
benjyfishy TH,,3 Round 4 CyvOph Derke Round 13 CyvOph Kicks Round 18 Less Derke,,,,,,,,,37,3,1
