,benjyfishy TH,Wo0t TH,MiniBoo TH,Boo TH,RieNs TH
Less VIT,0 1 -1,1 2 -1,1 0 +1,,
Derke VIT,1 0 +1,2 3 -1,,2 1 +1,
CyvOph VIT,1 0 +1,,2 0 +2,0 1 -1,1 1 +0
Kicks VIT,,,,1 0 +1,
Sayf VIT,,,0 1 -1,,
