,benjyfishy TH,Wo0t TH,MiniBoo TH,Boo TH,RieNs TH
Less VIT,1 0 +1,,,,
Derke VIT,,1 1 +0,1 4 -3,0 2 -2,1 1 +0
CyvOph VIT,1 0 +1,,0 1 -1,,0 1 -1
Kicks VIT,,0 2 -2,0 1 -1,0 1 -1,
Sayf VIT,,,,,
