,benjyfishy TH,Wo0t TH,MiniBoo TH,Boo TH,RieNs TH
Less VIT,6 3 +3,2 3 -1,2 2 +0,3 2 +1,2 2 +0
Derke VIT,2 1 +1,2 3 -1,2 6 -4,1 3 -2,5 1 +4
CyvOph VIT,4 5 -1,4 3 +1,3 4 -1,2 0 +2,2 4 -2
Kicks VIT,0 1 -1,1 6 -5,1 5 -4,1 2 -1,1 2 -1
Sayf VIT,0 1 -1,3 5 -2,2 5 -3,3 1 +2,2 3 -1
