,MiniBoo TH,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH
Boaster FNC,1 9 -8,2 6 -4,2 4 -2,7 3 +4,3 9 -6
Alfajer FNC,2 8 -6,5 7 -2,6 9 -3,5 4 +1,5 6 -1
kaajak FNC,12 3 +9,8 9 -1,3 4 -1,7 10 -3,6 3 +3
crashies FNC,6 9 -3,5 2 +3,7 5 +2,5 8 -3,8 4 +4
Chronicle FNC,5 10 -5,6 6 +0,4 5 -1,4 2 +2,5 5 +0
