,MiniBoo TH,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH
Boaster FNC,1 2 -1,1 1 +0,1 2 -1,2 1 +1,2 7 -5
Alfajer FNC,0 7 -7,1 1 +0,0 2 -2,3 2 +1,2 3 -1
kaajak FNC,4 1 +3,4 3 +1,2 2 +0,4 5 -1,2 2 +0
crashies FNC,2 5 -3,2 0 +2,3 1 +2,1 4 -3,4 2 +2
Chronicle FNC,3 4 -1,3 2 +1,2 1 +1,3 0 +3,1 5 -4
