,MiniBoo TH,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH
Boaster FNC,0 3 -3,1 0 +1,,3 0 +3,1 2 -1
Alfajer FNC,1 1 +0,,0 2 -2,2 1 +1,0 3 -3
kaajak FNC,3 1 +2,2 0 +2,0 2 -2,2 0 +2,
crashies FNC,0 2 -2,,2 0 +2,0 2 -2,
Chronicle FNC,0 2 -2,0 1 -1,0 2 -2,,
