,MiniBoo TH,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH
Boaster FNC,0 2 -2,,,2 0 +2,1 0 +1
Alfajer FNC,1 0 +1,,0 2 -2,1 0 +1,0 1 -1
kaajak FNC,2 0 +2,1 0 +1,0 1 -1,1 0 +1,
crashies FNC,0 2 -2,,2 0 +2,,
Chronicle FNC,0 2 -2,,0 2 -2,,
