,MiniBoo TH,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH
Boaster FNC,0 7 -7,1 5 -4,1 2 -1,5 2 +3,1 2 -1
Alfajer FNC,2 1 +1,4 6 -2,6 7 -1,2 2 +0,3 3 +0
kaajak FNC,8 2 +6,4 6 -2,1 2 -1,3 5 -2,4 1 +3
crashies FNC,4 4 +0,3 2 +1,4 4 +0,4 4 +0,4 2 +2
Chronicle FNC,2 6 -4,3 4 -1,2 4 -2,1 2 -1,4 0 +4
