,MiniBoo TH,RieNs TH,Boo TH,Wo0t TH,benjyfishy TH
Boaster FNC,0 1 -1,1 0 +1,,1 0 +1,0 2 -2
Alfajer FNC,0 1 -1,,,1 1 +0,0 2 -2
kaajak FNC,1 1 +0,1 0 +1,0 1 -1,1 0 +1,
crashies FNC,,,,0 2 -2,
Chronicle FNC,,0 1 -1,,,
