,valyn G2,leaf G2,trent G2,JonahP G2,jawgemo G2
zekken SEN,,,,,0 5 -5
Zellsis SEN,,,,,0 2 -2
johnqt SEN,,,,,
bang SEN,,,,,0 2 -2
N4RRATE SEN,1 0 +1,1 0 +1,,,
