,valyn G2,leaf G2,trent G2,JonahP G2,jawgemo G2
zekken SEN,2 5 -3,5 4 +1,2 4 -2,4 3 +1,7 3 +4
Zellsis SEN,3 2 +1,4 7 -3,2 6 -4,1 1 +0,2 2 +0
johnqt SEN,1 3 -2,1 4 -3,2 3 -1,4 2 +2,0 4 -4
bang SEN,4 4 +0,2 4 -2,3 4 -1,5 1 +4,3 5 -2
N4RRATE SEN,5 1 +4,3 1 +2,4 6 -2,1 5 -4,5 4 +1
