,valyn G2,leaf G2,trent G2,JonahP G2,jawgemo G2
zekken SEN,3 0 +3,4 1 +3,,,0 2 -2
Zellsis SEN,1 1 +0,0 1 -1,0 1 -1,0 0,1 1 +0
johnqt SEN,,,,,1 0 +1
bang SEN,,,1 0 +1,0 2 -2,1 0 +1
N4RRATE SEN,,,,,1 0 +1
