,valyn G2,leaf G2,trent G2,JonahP G2,jawgemo G2
zekken SEN,7 14 -7,20 14 +6,12 12 +0,15 13 +2,18 16 +2
Zellsis SEN,12 16 -4,12 13 -1,6 19 -13,12 7 +5,13 10 +3
johnqt SEN,12 13 -1,13 13 +0,13 11 +2,11 7 +4,8 10 -2
bang SEN,14 17 -3,9 11 -2,11 15 -4,16 9 +7,14 15 -1
N4RRATE SEN,15 10 +5,11 12 -1,9 16 -7,6 15 -9,10 11 -1
