,valyn G2,leaf G2,trent G2,JonahP G2,jawgemo G2
zekken SEN,0 1 -1,1 1 +0,1 3 -2,,2 1 +1
Zellsis SEN,1 1 +0,0 1 -1,0 1 -1,0 1 -1,0 1 -1
johnqt SEN,0 1 -1,,,,
bang SEN,,1 0 +1,,,0 2 -2
N4RRATE SEN,,,,1 0 +1,0 1 -1
