,valyn G2,leaf G2,trent G2,JonahP G2,jawgemo G2
zekken SEN,0 3 -3,2 3 -1,2 1 +1,5 5 +0,2 6 -4
Zellsis SEN,5 5 +0,6 2 +4,2 3 -1,6 5 +1,2 3 -1
johnqt SEN,5 2 +3,4 1 +3,5 3 +2,3 2 +1,5 4 +1
bang SEN,5 2 +3,3 3 +0,4 5 -1,3 3 +0,5 5 +0
N4RRATE SEN,1 2 -1,3 3 +0,1 5 -4,0 4 -4,1 2 -1
