,valyn G2,leaf G2,trent G2,JonahP G2,jawgemo G2
zekken SEN,,,,,0 3 -3
Zellsis SEN,,,,,
johnqt SEN,,,,,
bang SEN,,,,,0 1 -1
N4RRATE SEN,1 0 +1,1 0 +1,,,
