,moose C9,vanity C9,Xeppaa C9,OXY C9,runi C9
FiNESSE NRG,0 1 -1,0 1 -1,,2 0 +2,3 0 +3
crashies NRG,,,,0 2 -2,0 1 -1
Ethan NRG,,,1 0 +1,0 2 -2,
s0m NRG,0 1 -1,1 0 +1,1 0 +1,1 0 +1,1 0 +1
Victor NRG,1 1 +0,2 2 +0,,1 0 +1,0 1 -1
