,moose C9,vanity C9,Xeppaa C9,OXY C9,runi C9
FiNESSE NRG,,,,,
crashies NRG,,,,1 3 -2,
Ethan NRG,,0 1 -1,1 0 +1,,
s0m NRG,,0 1 -1,1 1 +0,0 1 -1,
Victor NRG,1 1 +0,4 1 +3,2 0 +2,1 3 -2,
