,moose C9,vanity C9,Xeppaa C9,OXY C9,runi C9
FiNESSE NRG,2 1 +1,3 2 +1,3 2 +1,4 1 +3,1 4 -3
crashies NRG,2 0 +2,2 3 -1,1 2 -1,2 2 +0,1 2 -1
Ethan NRG,2 1 +1,2 3 -1,4 1 +3,3 2 +1,4 0 +4
s0m NRG,2 1 +1,3 0 +3,2 2 +0,5 3 +2,2 1 +1
Victor NRG,2 3 -1,4 2 +2,4 2 +2,1 0 +1,3 1 +2
