,moose C9,vanity C9,Xeppaa C9,OXY C9,runi C9
FiNESSE NRG,0 1 -1,0 1 -1,1 0 +1,3 0 +3,3 0 +3
crashies NRG,,,,2 6 -4,1 1 +0
Ethan NRG,,0 2 -2,2 0 +2,0 2 -2,
s0m NRG,0 1 -1,2 1 +1,2 1 +1,2 2 +0,1 0 +1
Victor NRG,2 4 -2,8 4 +4,2 1 +1,3 3 +0,0 1 -1
