,moose C9,vanity C9,Xeppaa C9,OXY C9,runi C9
FiNESSE NRG,,,1 0 +1,1 0 +1,
crashies NRG,,,,1 1 +0,1 0 +1
Ethan NRG,,0 1 -1,,,
s0m NRG,,1 0 +1,,1 1 +0,
Victor NRG,0 2 -2,2 1 +1,0 1 -1,1 0 +1,
