,moose C9,vanity C9,Xeppaa C9,OXY C9,runi C9
FiNESSE NRG,9 7 +2,6 11 -5,11 6 +5,12 10 +2,7 14 -7
crashies NRG,6 6 +0,7 8 -1,5 8 -3,9 13 -4,10 7 +3
Ethan NRG,9 5 +4,9 14 -5,8 7 +1,8 11 -3,11 4 +7
s0m NRG,8 10 -2,13 5 +8,10 7 +3,15 12 +3,10 6 +4
Victor NRG,9 8 +1,11 11 +0,11 3 +8,8 18 -10,9 6 +3
