,moose C9,vanity C9,Xeppaa C9,OXY C9,runi C9
FiNESSE NRG,1 3 -2,2 6 -4,5 1 +4,3 4 -1,4 7 -3
crashies NRG,2 3 -1,4 4 +0,1 1 +0,4 3 +1,5 5 +0
Ethan NRG,2 3 -1,3 5 -2,3 1 +2,4 4 +0,4 3 +1
s0m NRG,4 5 -1,8 1 +7,4 2 +2,5 6 -1,3 4 -1
Victor NRG,6 3 +3,2 5 -3,3 1 +2,4 6 -2,3 2 +1
