,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
crashies NRG,,3 Round 7 vanity moose Round 20 OXY runi Round 26 runi OXY,1 Round 22 vanity runi runi,1 Round 11 moose OXY vanity runi,,,,,,,39,0,0
Victor NRG,,3 Round 3 OXY moose Round 10 OXY moose Round 14 moose runi,2 Round 16 moose Xeppaa runi Round 17 moose runi Xeppaa,,,,,,,,44,0,0
FiNESSE NRG,,1 Round 13 runi Xeppaa,2 Round 4 runi Xeppaa runi Round 24 OXY Xeppaa moose,,,,,,,,40,0,1
s0m NRG,,2 Round 16 OXY vanity Round 25 vanity Xeppaa,3 Round 9 OXY runi vanity Round 13 OXY moose vanity Round 14 vanity Xeppaa OXY,,,,,,,,60,0,1
Ethan NRG,,4 Round 4 OXY moose Round 7 runi Xeppaa Round 10 Xeppaa vanity Round 15 vanity OXY,,1 Round 6 OXY Xeppaa moose runi,,,,1 Round 6 Xeppaa runi moose,,,44,11,0
moose C9,,2 Round 12 Victor FiNESSE Round 22 s0m Ethan,2 Round 23 Victor s0m FiNESSE Round 26 s0m Ethan crashies,,,1 Round 26 crashies,,,,,54,1,0
vanity C9,,5 Round 6 FiNESSE crashies Round 12 Ethan crashies Round 20 crashies Ethan Round 24 Ethan Victor Round 25 Victor FiNESSE,1 Round 1 s0m Victor Ethan,,,,,,,,51,3,0
Xeppaa C9,,1 Round 22 FiNESSE crashies,,,,,,,,,25,4,0
runi C9,,5 Round 1 crashies FiNESSE Round 2 FiNESSE Ethan Round 5 FiNESSE s0m Round 8 s0m Ethan Round 24 FiNESSE crashies,1 Round 18 crashies s0m FiNESSE,,,,,,,,50,2,3
OXY C9,,4 Round 3 s0m FiNESSE Round 4 Victor s0m Round 8 Victor crashies Round 18 Victor Ethan,,1 Round 21 Ethan Victor s0m FiNESSE,,,,,,,57,0,2
