,moose C9,vanity C9,Xeppaa C9,OXY C9,runi C9
FiNESSE NRG,6 3 +3,1 3 -2,3 3 +0,5 5 +0,2 3 -1
crashies NRG,2 3 -1,1 1 +0,3 5 -2,3 8 -5,4 0 +4
Ethan NRG,5 1 +4,4 6 -2,1 5 -4,1 5 -4,3 1 +2
s0m NRG,2 4 -2,2 4 -2,4 3 +1,5 3 +2,5 1 +4
Victor NRG,1 2 -1,5 4 +1,4 0 +4,3 12 -9,3 3 +0
