,Killua TLN,thyy TLN,Crws TLN,JitBoyS TLN,primmie TLN
HYUNMIN DRX,,,,3 0 +3,2 1 +1
free1ng DRX,,,,,0 2 -2
Estrella DRX,,,,,0 1 -1
MaKo DRX,,,,,
BeYN DRX,,,,,
