,Killua TLN,thyy TLN,Crws TLN,JitBoyS TLN,primmie TLN
HYUNMIN DRX,1 2 -1,1 0 +1,2 1 +1,3 3 +0,0 2 -2
free1ng DRX,0 1 -1,1 0 +1,,1 0 +1,1 0 +1
Estrella DRX,1 0 +1,,0 1 -1,2 2 +0,0 1 -1
MaKo DRX,1 2 -1,,,2 1 +1,3 1 +2
BeYN DRX,1 0 +1,1 1 +0,1 0 +1,2 1 +1,
