,Killua TLN,thyy TLN,Crws TLN,JitBoyS TLN,primmie TLN
HYUNMIN DRX,4 2 +2,4 2 +2,5 4 +1,5 5 +0,3 5 -2
free1ng DRX,3 3 +0,2 3 -1,1 4 -3,3 3 +0,4 6 -2
Estrella DRX,6 2 +4,0 4 -4,4 6 -2,2 3 -1,3 3 +0
MaKo DRX,1 6 -5,7 2 +5,5 2 +3,5 2 +3,6 5 +1
BeYN DRX,5 1 +4,4 3 +1,3 3 +0,4 3 +1,3 4 -1
