,Killua TLN,thyy TLN,Crws TLN,JitBoyS TLN,primmie TLN
HYUNMIN DRX,7 3 +4,8 4 +4,7 5 +2,9 7 +2,6 8 -2
free1ng DRX,3 4 -1,4 5 -1,4 5 -1,7 4 +3,8 11 -3
Estrella DRX,6 4 +2,2 7 -5,5 7 -2,4 8 -4,7 4 +3
MaKo DRX,6 7 -1,9 5 +4,9 3 +6,8 3 +5,9 7 +2
BeYN DRX,10 1 +9,7 5 +2,7 4 +3,5 5 +0,4 8 -4
