,Killua TLN,thyy TLN,Crws TLN,JitBoyS TLN,primmie TLN
HYUNMIN DRX,3 1 +2,4 2 +2,2 1 +1,4 2 +2,3 3 +0
free1ng DRX,0 1 -1,2 2 +0,3 1 +2,4 1 +3,4 5 -1
Estrella DRX,0 2 -2,2 3 -1,1 1 +0,2 5 -3,4 1 +3
MaKo DRX,5 1 +4,2 3 -1,4 1 +3,3 1 +2,3 2 +1
BeYN DRX,5 0 +5,3 2 +1,4 1 +3,1 2 -1,1 4 -3
