,Killua TLN,thyy TLN,Crws TLN,JitBoyS TLN,primmie TLN
HYUNMIN DRX,,,,1 1 +0,0 1 -1
free1ng DRX,,1 0 +1,,,1 0 +1
Estrella DRX,,,,1 1 +0,0 1 -1
MaKo DRX,1 1 +0,,,1 1 +0,1 1 +0
BeYN DRX,1 0 +1,0 1 -1,,0 1 -1,
