,HYUNMIN DRX,MaKo DRX,Flashback DRX,BeYN DRX,free1ng DRX
iZu T1,10 4 +6,9 3 +6,5 4 +1,6 5 +1,6 5 +1
stax T1,4 4 +0,4 5 -1,5 7 -2,4 4 +0,5 4 +1
Sylvan T1,4 1 +3,6 5 +1,5 5 +0,3 4 -1,7 6 +1
BuZz T1,8 3 +5,4 4 +0,8 5 +3,3 6 -3,7 9 -2
Meteor T1,10 6 +4,8 1 +7,7 4 +3,11 6 +5,6 9 -3
