,HYUNMIN DRX,MaKo DRX,Flashback DRX,BeYN DRX,free1ng DRX
iZu T1,3 3 +0,3 2 +1,3 2 +1,5 1 +4,6 1 +5
stax T1,3 1 +2,1 2 -1,3 2 +1,3 2 +1,3 1 +2
Sylvan T1,2 0 +2,4 4 +0,4 2 +2,2 1 +1,3 1 +2
BuZz T1,4 0 +4,1 1 +0,2 3 -1,1 2 -1,3 4 -1
Meteor T1,4 3 +1,4 0 +4,2 2 +0,3 2 +1,1 4 -3
