,HYUNMIN DRX,MaKo DRX,Flashback DRX,BeYN DRX,free1ng DRX
iZu T1,1 0 +1,,,,
stax T1,,1 0 +1,0 1 -1,,
Sylvan T1,,1 0 +1,,,1 1 +0
BuZz T1,2 0 +2,2 0 +2,3 0 +3,,2 1 +1
Meteor T1,2 0 +2,,0 1 -1,3 0 +3,1 1 +0
