,HYUNMIN DRX,MaKo DRX,Flashback DRX,BeYN DRX,free1ng DRX
iZu T1,0 2 -2,,,1 0 +1,1 0 +1
stax T1,0 1 -1,,,,
Sylvan T1,,,0 1 -1,1 0 +1,1 0 +1
BuZz T1,,,,0 1 -1,
Meteor T1,2 1 +1,,,1 0 +1,1 3 -2
