,HYUNMIN DRX,MaKo DRX,Flashback DRX,BeYN DRX,free1ng DRX
iZu T1,7 1 +6,6 1 +5,2 2 +0,1 4 -3,0 4 -4
stax T1,1 3 -2,3 3 +0,2 5 -3,1 2 -1,2 3 -1
Sylvan T1,2 1 +1,2 1 +1,1 3 -2,1 3 -2,4 5 -1
BuZz T1,4 3 +1,3 3 +0,6 2 +4,2 4 -2,4 5 -1
Meteor T1,6 3 +3,4 1 +3,5 2 +3,8 4 +4,5 5 +0
