,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
valyn G2,,4 Round 2 zekken Zellsis Round 12 zekken N4RRATE Round 15 johnqt N4RRATE Round 21 zekken johnqt,,,,,,,,,59,3,2
jawgemo G2,,5 Round 7 johnqt bang Round 8 bang johnqt Round 13 Zellsis zekken Round 19 Zellsis bang Round 20 bang zekken,1 Round 3 N4RRATE zekken Zellsis,,,,,,,,54,2,0
JonahP G2,,2 Round 2 N4RRATE bang Round 9 johnqt zekken,2 Round 14 N4RRATE zekken bang Round 16 zekken N4RRATE johnqt,1 Round 1 Zellsis N4RRATE zekken bang,,1 Round 12 Zellsis,,,,,45,0,0
leaf G2,,2 Round 16 bang Zellsis Round 21 Zellsis N4RRATE,,,,1 Round 3 bang,,,,,48,0,1
trent G2,,3 Round 6 N4RRATE johnqt Round 9 N4RRATE Zellsis Round 20 N4RRATE johnqt,,,,,,,,,49,2,0
Zellsis SEN,,4 Round 4 trent JonahP Round 5 valyn trent Round 12 valyn jawgemo Round 19 valyn trent,,,,,,,,,55,2,0
johnqt SEN,,3 Round 4 jawgemo leaf Round 10 jawgemo JonahP Round 11 trent jawgemo,,,,,,,,,43,5,0
bang SEN,,3 Round 6 leaf JonahP Round 13 JonahP jawgemo Round 18 jawgemo JonahP,,,,,,,,,56,0,0
zekken SEN,,2 Round 3 JonahP valyn Round 10 valyn trent,1 Round 18 valyn trent leaf,1 Round 7 JonahP valyn jawgemo trent,,,,1 Round 18 valyn trent leaf,,,51,0,1
N4RRATE SEN,,3 Round 5 JonahP leaf Round 6 jawgemo valyn Round 11 leaf valyn,,,,,,,,,37,2,0
