,johnqt SEN,Zellsis SEN,zekken SEN,N4RRATE SEN,bang SEN
trent G2,6 1 +5,4 1 +3,3 3 +0,5 1 +4,0 1 -1
jawgemo G2,3 2 +1,5 1 +4,3 2 +1,3 3 +0,3 3 +0
valyn G2,1 1 +0,3 2 +1,1 4 -3,4 1 +3,8 1 +7
JonahP G2,3 1 +2,1 3 -2,3 1 +2,1 3 -2,1 1 +0
leaf G2,1 4 -3,2 4 -2,3 0 +3,2 1 +1,4 0 +4
