,johnqt SEN,Zellsis SEN,zekken SEN,N4RRATE SEN,bang SEN
trent G2,1 0 +1,1 0 +1,,,1 0 +1
jawgemo G2,0 2 -2,1 1 +0,0 1 -1,,1 1 +0
valyn G2,0 1 -1,,1 2 -1,0 1 -1,
JonahP G2,,,1 0 +1,0 1 -1,
leaf G2,0 1 -1,,3 1 +2,,
