,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
valyn G2,,1 Round 15 bang johnqt,1 Round 7 johnqt Zellsis bang,1 Round 3 N4RRATE Zellsis bang johnqt,,1 Round 7 bang,,,,,59,1,0
jawgemo G2,,2 Round 1 bang johnqt Round 6 bang Zellsis,,,,,,,,,50,2,0
JonahP G2,,2 Round 12 zekken bang Round 16 johnqt zekken,,,,,,,,,42,0,0
leaf G2,,,,,,,,,,,46,0,1
trent G2,,2 Round 6 N4RRATE zekken Round 17 bang Zellsis,,,,,1 Round 6 zekken N4RRATE,,,,45,4,0
Zellsis SEN,,4 Round 1 JonahP jawgemo Round 5 JonahP trent Round 9 valyn jawgemo Round 14 trent leaf,1 Round 2 trent jawgemo JonahP,,,,1 Round 1 jawgemo JonahP,,,,67,0,1
johnqt SEN,,4 Round 1 valyn leaf Round 3 leaf trent Round 4 leaf JonahP Round 8 valyn trent,1 Round 13 jawgemo JonahP trent,,,1 Round 4 JonahP,,,,,73,3,1
bang SEN,,1 Round 12 trent leaf,1 Round 11 trent leaf JonahP,,,,,,,,53,1,0
zekken SEN,,3 Round 4 trent valyn Round 5 valyn leaf Round 12 jawgemo valyn,1 Round 17 valyn leaf trent,,,,,,,,59,1,1
N4RRATE SEN,,3 Round 2 valyn leaf Round 10 leaf jawgemo Round 11 jawgemo valyn,1 Round 15 valyn trent jawgemo,,,1 Round 15 jawgemo,,,,,72,0,1
