,johnqt SEN,Zellsis SEN,zekken SEN,N4RRATE SEN,bang SEN
trent G2,5 1 +4,5 0 +5,3 3 +0,6 5 +1,4 5 -1
jawgemo G2,3 4 -1,2 0 +2,3 3 +0,2 7 -5,3 5 -2
valyn G2,5 3 +2,4 2 +2,3 2 +1,4 4 +0,3 3 +0
JonahP G2,3 4 -1,2 4 -2,4 3 +1,2 4 -2,4 0 +4
leaf G2,0 3 -3,5 3 +2,3 4 -1,5 1 +4,3 6 -3
