,johnqt SEN,Zellsis SEN,zekken SEN,N4RRATE SEN,bang SEN
trent G2,,,,1 0 +1,
jawgemo G2,0 3 -3,1 0 +1,,,1 1 +0
valyn G2,1 0 +1,,1 0 +1,,
JonahP G2,,1 0 +1,0 2 -2,0 1 -1,
leaf G2,,,3 0 +3,1 2 -1,1 1 +0
