,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
valyn G2,,3 Round 5 bang N4RRATE Round 15 bang N4RRATE Round 18 bang N4RRATE,1 Round 14 bang johnqt N4RRATE,,,,,,,,56,3,1
jawgemo G2,,3 Round 2 Zellsis johnqt Round 9 bang N4RRATE Round 10 zekken johnqt,,,1 Round 13 zekken bang N4RRATE johnqt Zellsis,,,,,,48,0,0
JonahP G2,,,,1 Round 6 bang Zellsis johnqt zekken,,,,,,,28,3,0
leaf G2,,4 Round 2 bang N4RRATE Round 4 bang zekken Round 10 N4RRATE Zellsis Round 16 bang zekken,,,,,,,,,50,1,0
trent G2,,5 Round 1 johnqt zekken Round 4 Zellsis N4RRATE Round 11 N4RRATE johnqt Round 15 zekken Zellsis Round 17 johnqt Zellsis,1 Round 16 N4RRATE johnqt Zellsis,,,1 Round 5 zekken,,,,,82,2,0
Zellsis SEN,,2 Round 3 jawgemo JonahP Round 15 leaf valyn,1 Round 12 valyn trent leaf,,,,,,,,67,0,0
johnqt SEN,,1 Round 17 leaf jawgemo,1 Round 8 trent JonahP leaf,,,,,,,,63,1,0
bang SEN,,2 Round 12 jawgemo JonahP Round 18 trent jawgemo,,,,,,,,,31,0,0
zekken SEN,,1 Round 5 JonahP valyn,,,,,,,,,48,0,1
N4RRATE SEN,,2 Round 5 leaf jawgemo Round 11 jawgemo JonahP,,,,1 Round 17 trent,,,,,45,1,0
