,johnqt SEN,Zellsis SEN,zekken SEN,N4RRATE SEN,bang SEN
trent G2,4 1 +3,2 5 -3,1 4 -3,3 2 +1,2 0 +2
jawgemo G2,3 5 -2,4 1 +3,4 3 +1,1 2 -1,6 3 +3
valyn G2,4 1 +3,3 3 +0,3 4 -1,3 2 +1,0 1 -1
JonahP G2,2 2 +0,1 2 -1,5 4 +1,6 2 +4,4 4 +0
leaf G2,3 2 +1,4 2 +2,3 1 +2,2 3 -1,2 4 -2
