,johnqt SEN,Zellsis SEN,zekken SEN,N4RRATE SEN,bang SEN
trent G2,0 3 -3,2 4 -2,4 3 +1,1 3 -2,3 2 +1
jawgemo G2,2 2 +0,1 5 -4,3 3 +0,1 6 -5,4 1 +3
valyn G2,3 2 +1,3 2 +1,1 6 -5,2 4 -2,3 1 +2
JonahP G2,1 4 -3,1 5 -4,3 2 +1,2 1 +1,1 3 -2
leaf G2,1 3 -2,4 2 +2,1 3 -2,3 2 +1,0 6 -6
