,johnqt SEN,Zellsis SEN,zekken SEN,N4RRATE SEN,bang SEN
trent G2,17 8 +9,17 14 +3,14 16 -2,19 12 +7,13 12 +1
jawgemo G2,14 17 -3,17 12 +5,15 15 +0,9 21 -12,18 15 +3
valyn G2,16 10 +6,14 10 +4,10 19 -9,14 14 +0,15 10 +5
JonahP G2,10 14 -4,6 15 -9,16 14 +2,11 15 -4,15 10 +5
leaf G2,6 20 -14,18 12 +6,15 10 +5,18 9 +9,11 19 -8
