,johnqt SEN,Zellsis SEN,zekken SEN,N4RRATE SEN,bang SEN
trent G2,2 2 +0,4 4 +0,3 3 +0,4 1 +3,4 4 +0
jawgemo G2,3 4 -1,5 5 +0,2 4 -2,2 3 -1,2 3 -1
valyn G2,3 3 +0,1 1 +0,2 3 -1,1 3 -2,1 4 -3
JonahP G2,1 3 -2,1 1 +0,1 4 -3,0 5 -5,5 2 +3
leaf G2,1 8 -7,3 1 +2,5 2 +3,6 2 +4,2 3 -1
