,johnqt SEN,Zellsis SEN,zekken SEN,N4RRATE SEN,bang SEN
trent G2,4 0 +4,3 1 +2,1 1 +0,3 1 +2,2 2 +0
jawgemo G2,1 5 -4,5 1 +4,5 3 +2,0 6 -6,3 6 -3
valyn G2,1 2 -1,1 1 +0,2 3 -1,2 1 +1,1 0 +1
JonahP G2,,1 1 +0,2 4 -2,0 3 -3,
leaf G2,0 1 -1,3 1 +2,7 1 +6,2 5 -3,1 2 -1
