,johnqt SEN,Zellsis SEN,zekken SEN,N4RRATE SEN,bang SEN
trent G2,,0 1 -1,1 0 +1,,0 2 -2
jawgemo G2,,,1 0 +1,0 1 -1,1 1 +0
valyn G2,,0 1 -1,0 1 -1,2 0 +2,
JonahP G2,,0 1 -1,0 2 -2,,
leaf G2,,1 0 +1,,0 1 -1,
