,d4v41 PRX,something PRX,mindfreak PRX,f0rsakeN PRX,Jinggg PRX
CHICHOO EDG,3 4 -1,2 2 +0,4 2 +2,3 3 +0,2 3 -1
S1Mon EDG,1 3 -2,1 3 -2,2 2 +0,3 4 -1,2 1 +1
nobody EDG,,3 3 +0,1 5 -4,0 3 -3,2 3 -1
Smoggy EDG,2 0 +2,4 3 +1,2 3 -1,2 8 -6,4 0 +4
ZmjjKK EDG,2 1 +1,2 7 -5,3 2 +1,1 3 -2,1 0 +1
