,d4v41 PRX,something PRX,mindfreak PRX,f0rsakeN PRX,Jinggg PRX
CHICHOO EDG,2 1 +1,0 1 -1,2 2 +0,4 2 +2,5 2 +3
S1Mon EDG,5 1 +4,3 1 +2,1 0 +1,2 2 +0,0 3 -3
nobody EDG,4 3 +1,2 1 +1,4 1 +3,1 3 -2,4 2 +2
Smoggy EDG,4 1 +3,5 2 +3,4 0 +4,5 2 +3,3 1 +2
ZmjjKK EDG,0 1 -1,3 3 +0,3 2 +1,1 2 -1,2 5 -3
