,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
nobody EDG,,3 Round 10 f0rsakeN mindfreak Round 15 Jinggg mindfreak Round 16 d4v41 mindfreak,1 Round 20 mindfreak f0rsakeN Jinggg,1 Round 14 something d4v41 mindfreak Jinggg,,,,,,,62,1,1
ZmjjKK EDG,,4 Round 3 Jinggg d4v41 Round 5 something d4v41 Round 18 something Jinggg Round 19 something d4v41,2 Round 11 Jinggg d4v41 mindfreak Round 21 d4v41 something mindfreak,,,,,,,,57,1,0
Smoggy EDG,,2 Round 15 f0rsakeN d4v41 Round 19 f0rsakeN Jinggg,,1 Round 18 mindfreak d4v41 f0rsakeN something,,,,,,,65,0,0
S1Mon EDG,,1 Round 4 mindfreak f0rsakeN,1 Round 13 f0rsakeN mindfreak something,,,1 Round 13 something,,,,,42,5,1
CHICHOO EDG,,3 Round 4 something Jinggg Round 7 f0rsakeN mindfreak Round 21 Jinggg f0rsakeN,,,,,,,,,84,1,1
Jinggg PRX,,2 Round 4 Smoggy nobody Round 7 nobody S1Mon,1 Round 2 CHICHOO nobody S1Mon,,,,1 Round 18 Smoggy ZmjjKK,,,,42,0,0
mindfreak PRX,,3 Round 3 S1Mon nobody Round 8 nobody Smoggy Round 21 CHICHOO nobody,,1 Round 19 nobody S1Mon Smoggy ZmjjKK,,,1 Round 19 Smoggy ZmjjKK,,,,70,0,0
f0rsakeN PRX,,,,,,,,,,,15,1,0
d4v41 PRX,,4 Round 2 ZmjjKK Smoggy Round 8 ZmjjKK CHICHOO Round 9 nobody Smoggy Round 12 Smoggy CHICHOO,1 Round 1 Smoggy nobody CHICHOO,,,,,,,,51,0,1
something PRX,,2 Round 12 ZmjjKK nobody Round 17 Smoggy S1Mon,1 Round 13 CHICHOO nobody Smoggy,,,,,,,,57,4,1
