,d4v41 PRX,something PRX,mindfreak PRX,f0rsakeN PRX,Jinggg PRX
CHICHOO EDG,,1 0 +1,,1 0 +1,1 0 +1
S1Mon EDG,,,,1 0 +1,
nobody EDG,,0 1 -1,0 1 -1,1 0 +1,1 1 +0
Smoggy EDG,,,1 0 +1,1 0 +1,
ZmjjKK EDG,1 2 -1,1 0 +1,0 2 -2,1 0 +1,3 0 +3
